STYLE	QUALITY	YEAR_BUILT	GLA	BSMT	Open Porch/deck/Roof Only	COV Porch&Deck	Enclosed	Foundation	Garage	Carport
9724	4	1996	2052	0	48	NULL	NULL	1559	NULL	NULL
9724	3	1972	2262	0	48	NULL	396	1559	NULL	2005
9724	3.5	1981	1756	0	NULL	96	NULL	1559	NULL	NULL
9724	2.5	1969	1352	1	700	80	NULL	NULL	NULL	NULL
9612	1	1972	896	0	144	64	NULL	1560	NULL	2004
9724	2.5	1972	1152	0	24	NULL	NULL	1560	NULL	2005
9612	2	1973	924	0	25	NULL	176	1508	NULL	NULL
9724	4	2008	1695	0	66	NULL	NULL	1559	NULL	NULL
9724	4	1995	1356	0	NULL	NULL	NULL	1559	NULL	2005
9612	2	1971	804	0	NULL	212	NULL	NULL	NULL	NULL
9724	2	1966	1626	0	NULL	160	NULL	1510	NULL	NULL
9724	4	1995	1568	0	48	240	NULL	1559	NULL	NULL
9612	2	1972	575	0	200	NULL	NULL	1559	NULL	NULL
9724	2.5	1972	1368	0	NULL	618	NULL	1510	408	NULL
9724	2.5	1976	1520	0	1192	NULL	NULL	1560	NULL	NULL
9724	2	1967	1100	0	36	NULL	40	1507	NULL	NULL
9732	4	2005	2262	0	NULL	NULL	NULL	1559	NULL	NULL
9724	2.5	1973	1693	0	824	NULL	NULL	1560	480	NULL
9724	4	1987	1634	0	102	NULL	NULL	1559	NULL	NULL
9612	1	1973	924	0	NULL	128	NULL	1510	NULL	NULL
9724	2	1972	1344	0	360	NULL	NULL	1513	NULL	NULL
9724	2.5	1972	1280	0	25	NULL	NULL	1559	NULL	NULL
9724	2.5	1972	1872	0	684	180	NULL	1559	NULL	NULL
9724	2.5	1972	1144	0	48	NULL	NULL	1559	NULL	NULL
9724	4	1998	1593	0	112	NULL	NULL	1559	NULL	NULL
9724	3	1978	1488	0	156	NULL	NULL	1559	NULL	NULL
9612	2.5	1979	980	0	NULL	56	NULL	1510	NULL	NULL
9724	4.5	1997	1232	0	NULL	NULL	194	1559	840	NULL
9724	4	1998	1296	0	144	NULL	NULL	1559	NULL	NULL
9612	1	1975	952	0	NULL	NULL	NULL	1507	NULL	NULL
9612	1	1974	952	0	NULL	96	96	1510	NULL	NULL
9612	3	1994	980	0	NULL	NULL	96	1507	NULL	NULL
9724	4	2004	1152	0	16	NULL	NULL	1559	NULL	2004
9612	3	1995	924	0	NULL	80	NULL	1510	NULL	NULL
9612	1	1972	888	0	NULL	16	NULL	1507	NULL	NULL
9724	4	2006	2299	0	16	80	NULL	1559	NULL	NULL
9724	4	1998	1470	0	NULL	NULL	240	1559	NULL	NULL
9724	4	1999	1296	0	12	NULL	NULL	1559	NULL	NULL
9612	1	1973	1248	0	NULL	76	NULL	1507	NULL	NULL
9724	4	1999	1296	0	335	NULL	NULL	1559	NULL	NULL
9724	2	1972	1152	0	NULL	128	NULL	1507	NULL	NULL
9724	4	2008	1260	0	64	NULL	NULL	1560	NULL	NULL
9724	4	2010	1026	0	72	216	NULL	1559	NULL	NULL
9724	4	1988	1659	0	480	208	NULL	1559	NULL	NULL
9612	2.5	1974	1192	1	NULL	72	NULL	NULL	NULL	2004
9724	4	1997	1568	0	464	32	NULL	1507	NULL	2004
9612	3	1987	924	0	NULL	16	NULL	1510	NULL	NULL
9724	4	2008	1525	0	36	256	NULL	1559	NULL	NULL
9612	1	1975	840	0	NULL	128	NULL	1510	NULL	NULL
9612	3.5	2008	1140	0	NULL	384	NULL	1507	NULL	NULL
9724	3.5	1982	1344	0	144	NULL	NULL	1510	NULL	NULL
9724	3.5	1982	1496	0	NULL	160	NULL	1510	NULL	NULL
9724	3.5	1996	960	0	96	NULL	NULL	1507	NULL	NULL
9724	4	1995	1291	0	NULL	96	NULL	1559	NULL	NULL
9724	4	2005	1176	0	168	NULL	NULL	1559	NULL	NULL
9724	4	2008	1296	0	16	NULL	NULL	1507	NULL	NULL
9724	4	1999	1404	0	20	NULL	NULL	1560	NULL	NULL
9724	4	1997	1736	0	128	NULL	NULL	1559	NULL	NULL
9732	4.5	2004	2306	0	24	NULL	NULL	1560	NULL	NULL
9614	3.5	1989	980	0	NULL	96	NULL	1510	NULL	NULL
9728	4	1999	1404	0	112	200	NULL	1560	NULL	NULL
9728	4.5	2007	1701	0	NULL	81	NULL	1559	NULL	NULL
9724	4	1985	1440	0	144	88	NULL	1559	NULL	NULL
9728	3	1976	2049	0	204	NULL	355	1559	611	NULL
9728	3.5	1980	1778	0	NULL	NULL	NULL	1507	NULL	NULL
9728	4	1993	1560	0	64	160	NULL	1559	NULL	NULL
